,principal component 1,principal component 2,principal component 3,target
0,1.63625439254,-0.450877376779,0.338285058997,GSRI
1,-0.35420585285,-0.570427753618,0.151743686063,GSRI
2,-0.16636414249,0.346455216575,-0.599239195471,GSRI
3,-0.000312949390544,1.97645057019,-0.579741335298,GSRI
4,0.258539438874,1.06505775416,0.369110814362,GSRI
5,-0.398918136875,-0.520845462045,-0.727574018081,GSRI
6,-0.517256965566,-0.444586286379,0.0877005529863,GSRI
7,-0.942324334549,-0.199039251041,1.02488651422,GSRI
8,1.09056781139,0.950746304574,0.324745242403,GC
9,1.95844127626,0.00271439430776,0.0607956283092,GC
10,-0.153020593121,-0.173381542954,0.530505134444,GC
11,-0.275520480409,0.583494017509,0.896555412114,GC
12,0.0294440970482,-0.331723386898,-0.326600487641,GC
13,-0.483270554155,0.364434776537,-0.385736262258,GC
14,0.494307696915,-0.779847127385,-0.265806796474,GC
15,0.696198184271,-0.604956798659,-0.316781522866,GC
16,0.300810460391,-0.375840268016,-0.444739192154,GC
17,0.720501445508,-0.310079200315,0.167506111943,GC
18,-0.55946973342,-0.520521172629,-0.828460465329,GC
19,-0.485924231626,-0.3483868779,-0.239776221421,GC
20,-0.580184917289,-0.32055637326,0.720833432613,GC
21,-0.481381055495,0.363568533651,-0.238807968514,GC
22,-0.963503876618,0.796603850075,-0.166444667982,GC
23,-0.823406979352,-0.498456539702,0.447040545038,GC
